northboundVersion,/apiName,headers,httpMethod_api,endpoint_api,jsonBody,southboundVersion,southboundMethod,southBoundVersion_sb,methodName,queryParams,microService,operation,backendVersion,endpoint_sb,responseUnwrapMethod,httpMethod_sb
v26,confrim,Session-Id;Virgin-Device-Id;Accept-Version,POST,deactivation/confirm,"{ ""number"" : ""example"", ""otp"" : ""example"", ""reason_id"" : ""example"", ""iban"" : ""example"", ""contact_phone"" : ""example"", ""primery_number"" : ""example"" }",V14,confirm,V14,confirm,MSISDN;OTP;ReasonId;IBAN;ContactNumber;PrimaryNumber,Deactivation,Confirm,v2,Deactivation/v2/Confirm,parsed_key_result3,POST
v26,Confirm Registration,Session-Id;Virgin-Device-Id;Accept-Version,POST,credit_cards/confirm_registration,"{ ""order_id"" : ""example"", ""status"" : ""example"" }",V15,confirm_commit_reservation,V15,confirm_commit_reservation,,CreditCard,ConfirmRegistrationPayFort,v2,CreditCard/v2/ConfirmRegistrationPayFort,parsed_data,POST
v26,PayOnboarding V2,Session-Id;Virgin-Device-Id;Accept-Version,POST,credit_cards/pay_onboarding,"{ ""alias"" : ""example"", ""customer_name"" : ""example"", ""cvv"" : ""example"", ""save_card"" : true, ""auto_topup"" : true }",V15,pay_onboarding_with_top_up,V15,pay_onboarding_with_top_up,ALIAS;CustomerName;CVV;SaveCard;AutoTopup,CreditCard,PayOnboarding,v2,CreditCard/v2/PayOnboarding,parsed_key_result3,POST
v26,Register and Pay with Apple Pay,Session-Id;Virgin-Device-Id;Accept-Version,POST,credit_cards/register_and_pay_apple,"{ ""apple_data"" : ""example"", ""apple_signature"" : ""example"", ""apple_transactionId"" : ""example"", ""apple_ephemeralPublicKey"" : ""example"", ""apple_publicKeyHash"" : ""example"", ""apple_displayName"" : ""example"", ""apple_network"" : ""example"", ""apple_type"" : ""example"", ""apple_application_data"" : ""example"", ""payment_operation"" : 123 }",V15,register_and_pay_apple,V15,register_and_pay_apple,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation,CreditCard,RegisterAndPayApple,v2,CreditCard/v2/RegisterAndPayApple,parsed_data,POST
v26,Retry Confirm Registration,Session-Id;Virgin-Device-Id;Accept-Version,POST,credit_cards/retry_confirm_registration,,V15,retry_confirm_registration_payfort,V15,retry_confirm_registration_payfort,,CreditCard,RetryConfirmRegistrationPayFort,v2,CreditCard/v2/RetryConfirmRegistrationPayFort,parsed_data,POST
v26, Cancel Onboarding,Session-Id;Virgin-Device-Id;Accept-Version,POST,credit_cards/cancel_onboarding,,V15,cancel_onboarding,V15,cancel_onboarding,,CreditCard,CancelOnboarding,v1,CreditCard/v1/CancelOnboarding,parsed_data,POST
v9,modules,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/modules,include_customer_data=true,V2,modules,V2,modules,IncludeCustomerData,Activation,Modules,V2,Activation/V2/Modules,parsed_key_results,GET
v9,Send Activation OTP,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/send_activation_otp,"{ ""number"" : ""example"" }",V2,send_activation_otp,V2,send_activation_otp,MSISDN,Activation,SendActivationOTP,V3,Activation/V3/SendActivationOTP,parsed_key_results,POST
v9,Avilable,Session-Id;Virgin-Device-Id;Accept-Version,GET,ads/available,number=example&is_eligible_for_twt=true,V2,available,V2,available,MSISDN,Ads,Available,V2,Ads/V2/Available,parsed_key_result3,GET
v9,consume,Session-Id;Virgin-Device-Id;Accept-Version,POST,ads/consume,"{ ""number"" : ""example"", ""uid"" : 123 }",V2,consume,V2,consume,MSISDN;UID,Ads,Consume,V2,Ads/V2/Consume,parsed_key_result3,POST
v11,Get Auto top-up,Session-Id;Virgin-Device-Id;Accept-Version,GET,topup/auto,number=example,V2,get_auto_topup,V2,get_auto_topup,MSISDN,AutoRechargeDetails,AutoRechargeDetails,V2,AutoRechargeDetails/V2/AutoRechargeDetails,parsed_key_result3,GET
v2,Set Auto Recharge Details,Session-Id;Accept-Version,POST,me/auto_recharge,"{ ""number"" : ""example"", ""minimum_recharge_balance"" : ""example"", ""amount"" : ""example"", ""ask_me"" : true }",V2,set_auto_recharge,V2,set_auto_recharge,Amount;MSISDN;AutoRechargeStatus;TopUpPlanAmount;PaymentMethodId;minimumRechargeBalance,AutoRechargeDetails.svc,AutoRechargeDetails,V2,AutoRechargeDetails.svc/V2/AutoRechargeDetails,parsed_key_result3,POST
v11,One-Off Topup With cvv,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/one_off_with_cvv,"{ ""number"" : ""example"", ""cvv"" : ""example"", ""amount"" : ""example"", ""skip_pending_payment_check"" : true, ""payment_method_id"" : 123 }",V2,one_off_with_cvv,V2,one_off_with_cvv,MSISDN;CVV;amount;PaymentMethodId,AccountBalance,RechargeOnlinePayment,V2,AccountBalance/V2/RechargeOnlinePayment,parsed_key_result3,POST
v11,one_off,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/one_off,"{ ""number"" : ""example"", ""amount"" : ""example"", ""payment_method_id"" : 123 }",V2,one_off,V2,one_off,MSISDN;amount;PaymentMethodId,AccountBalance,Recharge,V2,AccountBalance/V2/Recharge,parsed_key_result3,POST
v11,schedule_recharge,Session-Id;Virgin-Device-Id;Accept-Version,POST,topup/schedule_recharge,"{ ""number"" : ""example"", ""amount"" : ""example"", ""payment_method_id"" : 123 }",V2,schedule_recharge,V2,schedule_recharge,MSISDN;amount;PaymentMethodId,AutoRechargeDetails,ScheduleRecharge,V2,AutoRechargeDetails/V2/ScheduleRecharge,parsed_key_result3,POST
v17,Get available denominations,Session-Id;Virgin-Device-Id;Accept-Version,GET,topup/available_denominations,number=example,V2,available_denominations,V2,available_denominations,MSISDN,AutoRechargeDetails,AvailableTopupDenominations,V3,AutoRechargeDetails/V3/AvailableTopupDenominations,parsed_key_result3,GET
v2,categories,Session-Id;Virgin-Device-Id;Accept-Version,GET,complaints/categories,number=example,V2,categories,V2,categories,MSISDN,WebComplaint,GetCategoires,V2,WebComplaint/V2/GetCategoires,parsed_key_result3,GET
v6,Request Credit Transfer,Session-Id;Virgin-Device-Id;Accept-Version,POST,credit_transfer/request,"{ ""amount"" : 1.23, ""transfer_to"" : ""example"", ""transfer_from"" : ""example"" }",V2,request_credit_transfer,V2,request_credit_transfer,,CreditTransfer,Verification,V1,CreditTransfer/V1/Verification,parsed_key_results,POST
