southBoundVersion,methodName,queryParams,microService,operation,backendVersion,endpoint,responseUnwrapMethod,httpMethod
V1,app_version,,,,,,,
V1,connect_if_needed,,,,,,,
V1,ui_ver,,,,,,,
V1,connect,,Security,Connect,V1,Security/V1/Connect,,GET
V1,login_id,,,,,,,
V1,business_configuration,,BusinessConfiguration.svc,GetBusinessConfiguration,V1,BusinessConfiguration.svc/V1/GetBusinessConfiguration,parsed_list_data,GET
V1,mnc_code,,,,,,,
V1,expiry_date,MSISDN;boosterId,Booster,ExpieryDate,V1,Booster/V1/ExpieryDate,parsed_key_results,GET
V1,get,,Booster,Available,V1,Booster/V1/Available,parsed_key_results,GET
V1,recommended,MSISDN;serviceTypes,Booster,RecommendedBooster,V1,Booster/V1/RecommendedBooster,parsed_key_results,GET
V1,subscribe,MSISDN;planID,Booster,Subscribe,V1,Booster/V1/Subscribe,parsed_key_results,POST
V1,upselling,MSISDN,Booster,UpSellingBooster,V1,Booster/V1/UpSellingBooster,,GET
V1,booster_status,,Booster,LowBalanceFlag,V1,Booster/V1/LowBalanceFlag,parsed_key_results,GET
V1,get_calls,,NobillServiceManagement,CustomerServices,V1,NobillServiceManagement/V1/CustomerServices,parsed_key_result3,GET
V1,post_service,ServiceType;IsActivate,NobillServiceManagement,Service,V1,NobillServiceManagement/V1/Service,parsed_key_result3,POST
V1,GetServices,MSISDN,CallBarring,GetServices,V1,CallBarring/V1/GetServices,parsed_key_result3,GET
V1,Current,MSISDN,CallBarring,Current,V1,CallBarring/V1/Current,parsed_key_result3,GET
V1,Subscription_Add,MSISDN;serviceId;Countries;Numbers,CallBarring,Subscription,V1,CallBarring/V1/Subscription,parsed_key_result3,POST
V1,Subscription_Delete,MSISDN;serviceId,CallBarring,Subscription,V1,CallBarring/V1/Subscription,parsed_key_result3,DELETE
V1,subscriptionPatch,MSISDN;serviceId;action;Countries;Numbers,CallBarring,Subscription,V1,CallBarring/V1/Subscription,parsed_key_result3,PATCH
V1,Subscription_Put,MSISDN;serviceId;Countries;Numbers,CallBarring,Subscription,V1,CallBarring/V1/Subscription,parsed_key_result3,PUT
V1,get_call_history,,CallMeBack,History,V1,CallMeBack/V1/History,parsed_key_result3,GET
V1,get_limits,,CallMeBack,CheckLimitReached,V1,CallMeBack/V1/CheckLimitReached,parsed_key_result3,GET
V1,post_call,DestionationNumber,CallMeBack,Submit,V1,CallMeBack/V1/Submit,parsed_key_result3,POST
V1,details,MSISDN,Carbon,Details,V1,Carbon/V1/Details,parsed_key_result3,GET
V1,setStatus,MSISDN,Carbon,Status,V1,Carbon/V1/Status,parsed_key_result3,POST
V1,deleteStatus,MSISDN;PromotionId,Carbon,Status,V1,Carbon/V1/Status,parsed_key_result3,DELETE
V1,create_chat_session,nickname;firstname;lastname;subject;emailAddress;userDataKey1;userDataValue1;userDataKey2;userDataValue2,InAppChat,RequestChat,V1,InAppChat/V1/RequestChat,parsed_key_result3,POST
V1,track_chat_session,userId;secureKey;alias;chatId;transcriptPosition;message,InAppChat,Track,V1,InAppChat/V1/Track,parsed_key_result3,POST
V1,delete_chat_session,userId;secureKey;alias;chatId,InAppChat,DeleteSession,V1,InAppChat/V1/DeleteSession,parsed_key_result3,POST
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,self,,,,,,,
V1,categories,,WebComplaint,GetCategoires,V1,WebComplaint/V1/GetCategoires,parsed_key_result3,GET
V1,request_otp,MSISDN;process,WebComplaint,CheckCustomerWithOTP,V1,WebComplaint/V1/CheckCustomerWithOTP,parsed_key_result3,POST
V1,verify_otp,MSISDN;OTP,WebComplaint,VerifyOTP,V1,WebComplaint/V1/VerifyOTP,parsed_key_result3,POST
V1,submit,PhoneNo;Summary;Description;TicketCategory;TicketSubCategory;Email;OTP;ContactPhone,WebComplaint,SubmitTicket,V1,WebComplaint/V1/SubmitTicket,parsed_key_result3,POST
V1,index,lang,Lookups,Country,V1,Lookups/V1/Country,parsed_key_results,GET
V1,rates,iso3,International,CountryRates,V1,International/V1/CountryRates,parsed_key_results,GET
V1,inter_countries,lang,International,PlanCountries,V1,International/V1/PlanCountries,parsed_key_results,GET
V1,zones,zoneIds,Lookups,Zones,V1,Lookups/V1/Zones,parsed_key_results,GET
V1,request_credit_transfer,,CreditTransfer,Verification,V1,CreditTransfer/V1/Verification,parsed_key_results,POST
V1,submit_credit_transfer,,CreditTransfer,Transfer,V1,CreditTransfer/V1/Transfer,parsed_key_results,POST
V1,get_credit_limit_details,MSISDN;,CreditLimitManagment,Details,V1,CreditLimitManagment/V1/Details,parsed_key_result3,GET
V1,increase_credit_limit,MSISDN;amount;PaymentMethodId,CreditLimitManagment,OfflineCreditLimitRecharge,V1,CreditLimitManagment/V1/OfflineCreditLimitRecharge,parsed_key_result3,POST
V1,increase_credit_limit_with_card,MSISDN;amount;CustomerName;skipPendingPaymentCheck;SaveCard;ALIAS;CVV,CreditLimitManagment,OnlineCreditLimitRecharge,V1,CreditLimitManagment/V1/OnlineCreditLimitRecharge,parsed_key_result3,POST
V1,increase_credit_limit_with_apple_pay,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;MSISDN;amount,CreditLimitManagment,OnlineCreditLimitRechargeApplePay,V1,CreditLimitManagment/V1/OnlineCreditLimitRechargeApplePay,parsed_key_result3,POST
V1,confirm_credit_limit_increase,orderId;status,CreditLimitManagment,ConfirmOnlineCreditLimitRecharge,V1,CreditLimitManagment/V1/ConfirmOnlineCreditLimitRecharge,parsed_key_result3,POST
V1,numbers,,CustomerProduct,GetCustomerNumbers,V2,CustomerProduct/V2/GetCustomerNumbers,parsed_key_results,GET
V1,promotions,MSISDN,Customer.svc,CustomerPromotions,V1,Customer.svc/V1/CustomerPromotions,parsed_key_results,GET
V1,terminated_account_numbers,email,Customer.svc,GetTerminatedAccountMSISDN,V1,Customer.svc/V1/GetTerminatedAccountMSISDN,parsed_key_results,GET
V1,isDigitalOffer,MSISDN,customer,IsDigitalOffer,V4,customer/V4/IsDigitalOffer,parsed_key_results,GET
V1,MigrationProductCode,MSISDN,CustomerProduct,MigrationProductCode,V2,CustomerProduct/V2/MigrationProductCode,parsed_key_results,GET
V1,update_language,Lang;MSISDN,CustomerProduct,UpdateLanguage,V2,CustomerProduct/V2/UpdateLanguage,parsed_key_results,POST
V1,get_customer_preference,MSISDN,MarketingAds,Status,V1,MarketingAds/V1/Status,parsed_key_result3,GET
V1,post_customer_preference,,MarketingAds,Status,V1,MarketingAds/V1/Status,parsed_key_result3,POST
V1,offers_provision,MSISDN;offerId,Offers,MvivaOffersProvision,V1,Offers/V1/MvivaOffersProvision,parsed_key_result3,GET
